"((74, 250, 113), 'Green')",#0ad949
"((168, 89, 25), 'Orange')",#bf3205
"((163, 137, 52), 'Orange')",#c5aa3e
"((97, 68, 44), 'Orange')",#654a52
"((84, 160, 46), 'Green')",#65a328
"((86, 65, 36), 'Orange')",#24450b
"((97, 68, 44), 'Orange')",#8e1b14
"((43, 72, 85), 'Blue')",#496571
"((164, 189, 250), 'Blue')",#dafbf6
"((195, 68, 153), 'Purple')",#c43789
"((38, 127, 146), 'Blue')",#00ab76
"((168, 89, 25), 'Orange')",#a15015
"((48, 136, 47), 'Green')",#14973c
"((108, 182, 129), 'Green')",#79a76a
"((103, 119, 0), 'Green')",#528404
"((24, 141, 225), 'Blue')",#0c97d9
"((186, 174, 201), 'Grey')",#b7cfcb
"((246, 110, 126), 'Pink')",#da866c
"((97, 68, 44), 'Orange')",#793436
"((138, 76, 147), 'Purple')",#8a658f
"((138, 162, 141), 'Grey')",#7ca09e
"((94, 191, 30), 'Green')",#0dea2b
"((115, 147, 190), 'Blue')",#458fc1
"((48, 136, 47), 'Green')",#005711
"((219, 210, 125), 'Orange')",#cef06e
"((88, 19, 156), 'Purple')",#3213ac
"((24, 141, 225), 'Blue')",#086ccf
"((168, 89, 25), 'Orange')",#a41506
"((203, 79, 87), 'Red')",#c6484d
"((40, 53, 234), 'Blue')",#2e55e5
"((212, 57, 62), 'Red')",#c12515
"((43, 196, 207), 'Blue')",#35a9ec
"((43, 72, 85), 'Blue')",#393854
"((226, 103, 24), 'Orange')",#d99e1
"((183, 23, 244), 'Purple')",#a91af3
"((83, 62, 218), 'Blue')",#7909d8
"((233, 68, 120), 'Pink')",#ff457f
"((94, 191, 30), 'Green')",#66ad1
"((103, 244, 150), 'Green')",#4ce08e
"((240, 85, 247), 'Purple')",#e369ee
"((163, 137, 52), 'Orange')",#b19934
"((199, 87, 213), 'Purple')",#d66cbd
"((24, 141, 225), 'Blue')",#2475fd
"((199, 194, 109), 'Yellow')",#f7de1c
"((219, 210, 125), 'Orange')",#f4fc58
"((24, 141, 225), 'Blue')",#2ba1d8
"((226, 27, 153), 'Pink')",#fb0295
"((164, 189, 250), 'Blue')",#d2d3ff
"((232, 66, 76), 'Red')",#fb4d5a
"((43, 72, 85), 'Blue')",#26237a
"((136, 114, 52), 'Orange')",#817a4e
"((88, 19, 156), 'Purple')",#2321a0
"((186, 174, 201), 'Grey')",#bc91bb
"((142, 208, 94), 'Green')",#7ed560
"((86, 65, 36), 'Orange')",#44203c
"((244, 122, 173), 'Pink')",#d271a7
"((168, 89, 25), 'Orange')",#b47715
"((88, 19, 156), 'Purple')",#460bce
"((226, 103, 24), 'Orange')",#ef4619
"((219, 210, 125), 'Orange')",#e3e569
"((110, 221, 19), 'Green')",#21fb1b
"((129, 79, 175), 'Purple')",#5369a8
"((74, 250, 113), 'Green')",#1ce062
"((16, 106, 152), 'Blue')",#0149a8
"((115, 147, 190), 'Blue')",#617de
"((212, 57, 62), 'Red')",#d23e42
"((199, 87, 213), 'Purple')",#c54dbc
"((24, 141, 225), 'Blue')",#1c7cd5
"((86, 65, 36), 'Orange')",#416232
"((129, 79, 175), 'Purple')",#8460cc
"((131, 221, 178), 'Green')",#a5eea8
"((137, 170, 6), 'Green')",#cbaf8
"((219, 210, 125), 'Orange')",#f2ed70
"((138, 162, 141), 'Grey')",#828a8a
"((168, 89, 25), 'Orange')",#a5070a
"((48, 136, 47), 'Green')",#1dc93
"((24, 141, 225), 'Blue')",#0a69d3
"((161, 194, 170), 'Blue')",#b9e3bf
"((129, 79, 175), 'Purple')",#755bac
"((43, 196, 207), 'Blue')",#42b0e1
"((142, 208, 94), 'Green')",#9fc744
"((161, 194, 170), 'Blue')",#9ec1c3
"((212, 57, 62), 'Red')",#e3112c
"((115, 147, 190), 'Blue')",#6ca7db
"((43, 72, 85), 'Blue')",#452151
"((163, 137, 52), 'Orange')",#a4a31f
"((43, 72, 85), 'Blue')",#123e42
"((210, 87, 62), 'Orange')",#c46231
"((110, 221, 19), 'Green')",#63d106
"((86, 65, 36), 'Orange')",#2e4424
"((195, 68, 153), 'Purple')",#ba5382
"((129, 79, 175), 'Purple')",#905dae
"((203, 79, 87), 'Red')",#c65158
"((212, 4, 145), 'Pink')",#d001a7
"((38, 127, 146), 'Blue')",#318c63
"((43, 72, 85), 'Blue')",#0d2b31
"((43, 72, 85), 'Blue')",#1d4b3c
"((115, 147, 190), 'Blue')",#5a8aac
"((163, 137, 52), 'Orange')",#c99426
"((142, 208, 94), 'Green')",#98b349
